id , user1, user2
1044 , 1101614 , 556947
1045 , 422770 , 5062
1046 , 1592838 , 2639
1047 , 8493 , 1998005
1048 , 176018 , 1153519
1049 , 1225716 , 2159
1050 , 9217 , 1065812
1051 , 864 , 543
1052 , 2043285 , 6593
1053 , 1533840 , 13893
1054 , 2894 , 9913
1055 , 674167 , 1105748
1056 , 821839 , 804
1057 , 21 , 3467
1058 , 1468383 , 1245
1059 , 2031819 , 728
1060 , 1098396 , 11803
1061 , 293434 , 504559
1062 , 715959 , 3043
1063 , 1999477 , 146887
1064 , 635352 , 640258
1065 , 1825821 , 8586
1066 , 1884028 , 264149
1067 , 1132186 , 47
1068 , 413278 , 13266
1069 , 986390 , 12662
1070 , 1812226 , 5689
1071 , 11401 , 8843
1072 , 1315020 , 1004686
1073 , 1585371 , 8999
1074 , 1433670 , 64773
1075 , 799323 , 2371
1076 , 1471639 , 10646
1077 , 958802 , 1963573
1078 , 55063 , 148260
1079 , 1504565 , 1928905
1080 , 1190292 , 630944
1081 , 1215448 , 700
1082 , 3461 , 1506259
1083 , 108269 , 9008
1084 , 928637 , 835702
1085 , 1435380 , 10048
1086 , 676519 , 6545
1087 , 2012696 , 946777
1088 , 1353418 , 11735
1089 , 1199 , 954761
1090 , 735648 , 5106
1091 , 35363 , 12392
1092 , 1749295 , 13534
1093 , 658898 , 496
1094 , 916298 , 3522
1095 , 1114431 , 10531
1096 , 1049854 , 1300
1097 , 1980067 , 1955
1098 , 6657 , 62610
1099 , 1652925 , 9277
1100 , 492561 , 1670
